,,val/top1,val/l0_model,val/l0_model,val/params,val/params,val/macs,val/macs,val/top1,val/top1
,,min,last,last,last,last,last,last,last,last
,,min,mean,conf95_width,mean,conf95_width,mean,conf95_width,mean,conf95_width
lmbdas,target_density,,,,,,,,,
None,"[0.2, 0.2, 0.2]",1.65,23.28189661105474,0.307612563264071,3.409724566470375,0.15561732824921565,3.4297092493414727,0.15643370412863802,2.8200000000000003,0.3144156060588172
None,[0.2],1.4,22.765922049681343,0.17241465385427207,12.798094595101459,0.4089493291148023,12.873175786175297,0.4101986408694084,2.106666666666667,0.0471125366660626
None,"[0.35, 0.35, 0.35]",1.66,36.01975440979004,0.07600245486139766,10.59137566732931,0.17043490630632527,10.622448597430807,0.17066894920765419,2.033333333333333,0.12516066119636443
None,[0.35],1.37,36.251696944236755,0.055437494395496154,30.06913969218459,0.38506243368786963,30.156049086800746,0.386364537861751,1.75,0.1148455194308135
None,"[0.5, 0.5, 0.5]",1.58,50.4169762134552,0.043800003026425643,23.597264418688972,0.13877803257651672,23.633072419260202,0.13858503849679854,1.7633333333333334,0.15069215123703178
None,[0.5],1.2,50.88809331258138,0.11573780844261314,49.709188202493024,0.2741624594630955,49.78252999263449,0.27395113044641056,1.4633333333333336,0.1625474426470964
None,"[0.65, 0.65, 0.65]",1.42,65.06924033164978,0.03077361061132146,42.4293912456397,0.5121809348618488,42.463952660949026,0.5118047467124813,1.7233333333333334,0.013066666666666714
None,[0.65],1.27,65.37142992019653,0.00899265994806038,65.5701836640286,0.21813764247485298,65.62163714217945,0.21792915825753287,1.5033333333333332,0.028478139764465813
None,"[0.8, 0.8, 0.8]",1.38,80.0787846247355,0.06979796991579008,65.52729955115463,0.7610127949480667,65.55409909741208,0.7597510813404068,1.5366666666666668,0.045733333333333424
None,[0.8],1.16,80.02311587333679,0.04850457504791887,77.07812910243426,0.8619793683330734,77.11196834076127,0.8609202267385344,1.4566666666666668,0.15855957170028487
"[0.0001, 0.0001, 0.0001]",None,1.26,94.04226342837015,0.22716323915658657,99.66805446157309,0.3756317380954671,99.6681772218269,0.3754928217909204,1.5066666666666666,0.03974071519794847
[0.0001],None,1.32,93.98757219314575,0.06160466466039003,99.66805446157309,0.3756317380954671,99.6681772218269,0.3754928217909204,1.5966666666666667,0.17285575232288652
"[0.001, 0.001, 0.001]",None,1.33,93.76842379570007,0.10477430778533961,99.22546041033719,0.2168710851055849,99.22574685092943,0.21679088173976366,1.5999999999999999,0.09668450410139831
[0.001],None,1.24,93.80657275517783,0.17377053317276422,99.88935148719102,0.2168710851055849,99.88939240727564,0.21679088173976366,1.5733333333333335,0.09146666666666672
"[0.01, 0.01, 0.01]",None,1.29,90.17912546793619,0.22255768963099468,99.14956928347274,0.9399441465875161,99.14984457510954,0.9395998354756484,1.4366666666666668,0.12516066119636432
[0.01],None,1.34,90.97545941670737,0.17610850169843023,99.55740594876411,0.4337421702111698,99.55756962910255,0.43358176347952193,1.5133333333333334,0.10695527621913346
"[0.1, 0.1, 0.1]",None,1.37,59.966172774632774,0.09467541927390379,33.29132440643637,0.05899752722629371,33.31685454976717,0.05918797374521112,1.83,0.06789639165669989
[0.1],None,1.3,62.3848557472229,0.1639265815552197,62.3708788117475,0.3023369620039471,62.426625719386294,0.3022643831155909,1.5266666666666666,0.1311557513459136
"[1, 1, 1]",None,2.62,28.15842628479004,0.9680271230197866,3.5803858319892976,0.5065381664566364,3.5951212813502615,0.5073810532159099,2.9333333333333336,0.0942250733321257
[1],None,1.48,27.730172872543335,0.14530508185298777,18.53593888701349,0.5130564151629382,18.616780894598204,0.5151702982597791,1.9133333333333333,0.06821000252488213
